DailyLife_InspirationRecord_0001 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=134 | no_speech=0.19 | logprob=-0.20 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_2igfLjjBuZw_001.mp4
DailyLife_InspirationRecord_0002 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=180 | no_speech=0.28 | logprob=-0.15 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_2igfLjjBuZw_002.mp4
DailyLife_InspirationRecord_0003 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=159 | no_speech=0.39 | logprob=-0.21 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_2igfLjjBuZw_003.mp4
DailyLife_InspirationRecord_0004 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=155 | no_speech=0.20 | logprob=-0.20 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_2igfLjjBuZw_004.mp4
DailyLife_InspirationRecord_0005 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=160 | no_speech=0.24 | logprob=-0.20 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_2igfLjjBuZw_005.mp4
DailyLife_InspirationRecord_0006 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=156 | no_speech=0.14 | logprob=-0.24 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_C38xlWnkezQ_001.mp4
DailyLife_InspirationRecord_0007 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=189 | no_speech=0.24 | logprob=-0.19 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_C38xlWnkezQ_002.mp4
DailyLife_InspirationRecord_0008 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=171 | no_speech=0.04 | logprob=-0.22 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_C38xlWnkezQ_003.mp4
DailyLife_InspirationRecord_0009 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=190 | no_speech=0.11 | logprob=-0.17 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_C38xlWnkezQ_004.mp4
DailyLife_InspirationRecord_0010 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=180 | no_speech=0.09 | logprob=-0.35 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_C38xlWnkezQ_005.mp4
DailyLife_InspirationRecord_0011 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=REVIEW | transcription_reason=Low transcription confidence | words=54 | no_speech=0.28 | logprob=-1.33 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_IjAdrJi-1hA_001.mp4
DailyLife_InspirationRecord_0012 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=119 | no_speech=0.12 | logprob=-0.28 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_IjAdrJi-1hA_002.mp4
DailyLife_InspirationRecord_0013 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=125 | no_speech=0.08 | logprob=-0.27 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_IjAdrJi-1hA_003.mp4
DailyLife_InspirationRecord_0014 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=123 | no_speech=0.22 | logprob=-0.25 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_IjAdrJi-1hA_004.mp4
DailyLife_InspirationRecord_0015 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=123 | no_speech=0.10 | logprob=-0.13 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_IjAdrJi-1hA_005.mp4
DailyLife_InspirationRecord_0016 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=105 | no_speech=0.04 | logprob=-0.23 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_JeE1gIKD5VU_001.mp4
DailyLife_InspirationRecord_0017 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=139 | no_speech=0.09 | logprob=-0.14 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_JeE1gIKD5VU_002.mp4
DailyLife_InspirationRecord_0018 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=153 | no_speech=0.49 | logprob=-0.20 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_JeE1gIKD5VU_003.mp4
DailyLife_InspirationRecord_0019 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=135 | no_speech=0.13 | logprob=-0.24 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_JeE1gIKD5VU_004.mp4
DailyLife_InspirationRecord_0020 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=149 | no_speech=0.25 | logprob=-0.19 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_JeE1gIKD5VU_005.mp4
DailyLife_InspirationRecord_0021 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=71 | no_speech=0.53 | logprob=-0.36 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_jWoiizCh8MQ_001.mp4
DailyLife_InspirationRecord_0022 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=121 | no_speech=0.37 | logprob=-0.26 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_jWoiizCh8MQ_002.mp4
DailyLife_InspirationRecord_0023 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=139 | no_speech=0.56 | logprob=-0.23 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_jWoiizCh8MQ_003.mp4
DailyLife_InspirationRecord_0024 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=154 | no_speech=0.36 | logprob=-0.28 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_jWoiizCh8MQ_004.mp4
DailyLife_InspirationRecord_0025 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=138 | no_speech=0.07 | logprob=-0.29 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_jWoiizCh8MQ_005.mp4
DailyLife_InspirationRecord_0026 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=90 | no_speech=0.36 | logprob=-0.15 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_kap-JhoGkcY_001.mp4
DailyLife_InspirationRecord_0027 | REVIEW | Audio too short | audio_status=REVIEW | audio_reason=Audio too short | transcription_status=APPROVED | transcription_reason=Passed transcription quality rules | words=120 | no_speech=0.14 | logprob=-0.15 | duration=0.00s | rms=0.0000 | active_ratio=0.00 | clipping=1.0000 | original=collected_kap-JhoGkcY_002.mp4
